DATE,ERI_PREC,ERI_EVAP,ERI_RUNO
1929-06-01,65,,16
1929-07-01,74.7,,50.6
1929-08-01,25.4,,10.5
1929-09-01,56.9,,4.6
1929-10-01,87.9,,32.6
1929-11-01,87.4,,77.6
1929-12-01,99.8,,116.5
1930-01-01,119.6,,317.4
1930-02-01,54.1,,107.5
1930-03-01,68.1,,103.4
1930-04-01,56.6,,86.5
1930-05-01,46.7,,15.9
1930-06-01,69.9,,10.3
1930-07-01,27.7,,3.4
1930-08-01,23.9,,2.2
1930-09-01,66.5,,2.9
1930-10-01,50,,3.7
1930-11-01,40.6,,4
1930-12-01,29.7,,13.1
1931-01-01,52.2,,19.5
1931-02-01,42.1,,23
1931-03-01,52.1,,40
1931-04-01,79.5,,66.9
1931-05-01,56.4,,25.8
1931-06-01,85.8,,19
1931-07-01,89.9,,8.4
1931-08-01,62.2,,3.9
1931-09-01,88.9,,6.8
1931-10-01,60,,6.7
1931-11-01,70.3,,12.6
1931-12-01,58.8,,59.8
1932-01-01,113.9,,180.1
1932-02-01,34.2,,62
1932-03-01,45,,52.9
1932-04-01,48.8,,54.9
1932-05-01,111.7,,43
1932-06-01,35.1,,9.6
1932-07-01,98,,10.9
1932-08-01,54.7,,3.2
1932-09-01,79.5,,5.9
1932-10-01,84.7,,7
1932-11-01,71.9,,35.9
1932-12-01,86.4,,99.2
1933-01-01,40.5,,91.9
1933-02-01,44.7,,46.9
1933-03-01,77.9,,166.8
1933-04-01,68.7,,124
1933-05-01,74.4,,146.6
1933-06-01,35.3,,7.3
1933-07-01,35.9,,5
1933-08-01,65.3,,3.6
1933-09-01,65.5,,8.3
1933-10-01,49.7,,10.4
1933-11-01,66.4,,12
1933-12-01,50.6,,20.6
1934-01-01,48.1,,32.1
1934-02-01,19.7,,6.3
1934-03-01,73.8,,73.4
1934-04-01,73.6,,94.6
1934-05-01,14.1,,7.5
1934-06-01,48,,4.2
1934-07-01,45.9,,3.2
1934-08-01,78.8,,6.2
1934-09-01,104.6,,4.8
1934-10-01,38.6,,3.2
1934-11-01,61.3,,10.9
1934-12-01,55.7,,13.3
1935-01-01,61.7,,45.6
1935-02-01,66.4,,43.3
1935-03-01,53.5,,80.6
1935-04-01,41.9,,18.9
1935-05-01,69.9,,80.3
1935-06-01,71.7,,10.2
1935-07-01,67.7,,17.8
1935-08-01,89.9,,28.9
1935-09-01,58.2,,3.8
1935-10-01,45.2,,3
1935-11-01,64.4,,6.7
1935-12-01,51.8,,24.2
1936-01-01,43.7,,12.6
1936-02-01,61.9,,89.1
1936-03-01,71.4,,130.3
1936-04-01,60.5,,41.4
1936-05-01,33.8,,25.5
1936-06-01,58.6,,4.3
1936-07-01,50.4,,2.1
1936-08-01,50.6,,1.2
1936-09-01,89.5,,2.4
1936-10-01,74.9,,5.3
1936-11-01,54.8,,11.8
1936-12-01,51.2,,8.6
1937-01-01,174.6,,241.8
1937-02-01,46.7,,92.9
1937-03-01,59.7,,47.8
1937-04-01,151.8,,121.1
1937-05-01,60.9,,43.6
1937-06-01,163.1,,86.5
1937-07-01,90,,64.7
1937-08-01,70.8,,20
1937-09-01,43,,9.4
1937-10-01,93.5,,17.9
1937-11-01,42.5,,6.9
1937-12-01,76.3,,36.3
1938-01-01,32.8,,24.6
1938-02-01,113.3,,114.5
1938-03-01,91,,170.8
1938-04-01,53.6,,143.1
1938-05-01,85.6,,19.3
1938-06-01,81.5,,27.3
1938-07-01,90.1,,19.9
1938-08-01,59.1,,15.2
1938-09-01,121.1,,9.5
1938-10-01,33.8,,3.6
1938-11-01,73.5,,9.7
1938-12-01,47.1,,14
1939-01-01,61.4,,19
1939-02-01,100.2,,133
1939-03-01,73.5,,190.5
1939-04-01,92.1,,123.6
1939-05-01,35.6,,17.4
1939-06-01,89.4,,26.2
1939-07-01,75.3,,11.6
1939-08-01,42.6,,6.5
1939-09-01,63.7,,2.9
1939-10-01,68,,6.4
1939-11-01,25.7,,7.6
1939-12-01,36.5,,12.8
1940-01-01,35.6,,15.1
1940-02-01,55.2,,46.1
1940-03-01,65.1,,124.8
1940-04-01,78.1,,176.4
1940-05-01,113.8,,37.1
1940-06-01,102.2,,58
1940-07-01,47.3,,16.3
1940-08-01,131.4,,7.8
1940-09-01,67.7,,9.3
1940-10-01,51.6,,6.8
1940-11-01,84.5,,17
1940-12-01,98.5,,75.4
1941-01-01,46,,59.3
1941-02-01,25.4,,32.5
1941-03-01,32.1,,50
1941-04-01,39.2,,56.2
1941-05-01,54.6,,12.5
1941-06-01,66.4,,23.8
1941-07-01,66.5,,7.7
1941-08-01,80.9,,4.4
1941-09-01,35.7,,3.7
1941-10-01,98.5,,9.6
