DATE,MHG_PREC,MHG_EVAP,MHG_RUNO
1928-06-01,104.3,,62.9
1928-07-01,77.1,,67.1
1928-08-01,92.2,,53.6
1928-09-01,89.5,,66.3
1928-10-01,104.8,,133.4
1928-11-01,88,,120.3
1928-12-01,46.7,,90
1929-01-01,95.4,,85.9
1929-02-01,30.5,,56.5
1929-03-01,58.6,,145.8
1929-04-01,130.8,,210.5
1929-05-01,77.1,,150.2
1929-06-01,76.5,,64.6
1929-07-01,54.4,,56.2
1929-08-01,40.3,,36.3
1929-09-01,49.1,,29.4
1929-10-01,82.8,,32.4
1929-11-01,50.5,,40.7
1929-12-01,57.7,,35.6
1930-01-01,60.8,,60.7
1930-02-01,49.2,,71.8
1930-03-01,45,,78.6
1930-04-01,47.7,,110.9
1930-05-01,67.4,,87.8
1930-06-01,93.4,,87.5
1930-07-01,48.4,,76.1
1930-08-01,21.1,,27
1930-09-01,51.8,,21.7
1930-10-01,52.1,,24.1
1930-11-01,35.7,,25.2
1930-12-01,36.9,,28
1931-01-01,40.7,,23
1931-02-01,19.4,,24
1931-03-01,58,,32.6
1931-04-01,36.2,,64.6
1931-05-01,77.3,,56.7
1931-06-01,64.3,,32.5
1931-07-01,60.3,,19.7
1931-08-01,48.3,,17
1931-09-01,131.2,,19.8
1931-10-01,88.4,,25.6
1931-11-01,97.4,,52.9
1931-12-01,52.2,,53.4
1932-01-01,74.9,,70.2
1932-02-01,52.6,,61.9
1932-03-01,48.4,,57.2
1932-04-01,46.5,,102.3
1932-05-01,81.1,,70.8
1932-06-01,50.1,,32.9
1932-07-01,75.6,,25
1932-08-01,79.2,,19.3
1932-09-01,64.7,,28.1
1932-10-01,123.9,,35.9
1932-11-01,46.5,,63.6
1932-12-01,70.7,,55.5
1933-01-01,38.5,,54.6
1933-02-01,58.1,,40.6
1933-03-01,54.9,,48.5
1933-04-01,83.5,,144.7
1933-05-01,114.1,,109.1
1933-06-01,66.2,,46.9
1933-07-01,48.1,,29.9
1933-08-01,42.6,,24.7
1933-09-01,78,,18
1933-10-01,102.8,,25.1
1933-11-01,65.4,,28.1
1933-12-01,67,,35.5
1934-01-01,34.3,,37.1
1934-02-01,19,,27
1934-03-01,51.5,,41.5
1934-04-01,49.5,,104.6
1934-05-01,34.6,,75.7
1934-06-01,67.1,,26.3
1934-07-01,38.5,,20.7
1934-08-01,63.3,,18.4
1934-09-01,116,,22.3
1934-10-01,52.7,,26.1
1934-11-01,124.3,,54.4
1934-12-01,45.4,,50.1
1935-01-01,60,,40.5
1935-02-01,35.7,,33.7
1935-03-01,44.5,,97.1
1935-04-01,36.4,,74.1
1935-05-01,53.3,,53.7
1935-06-01,105.2,,46.9
1935-07-01,50.2,,33.9
1935-08-01,71.3,,27.4
1935-09-01,78.5,,24.3
1935-10-01,49.6,,28.1
1935-11-01,93.5,,37.9
1935-12-01,44.9,,34.9
1936-01-01,59.2,,29.8
1936-02-01,56.6,,28.6
1936-03-01,37.1,,74.9
1936-04-01,49.9,,85.3
1936-05-01,57.4,,100.6
1936-06-01,46.9,,38
1936-07-01,26.4,,22.5
1936-08-01,97,,20
1936-09-01,111.1,,25.1
1936-10-01,91.4,,32.4
1936-11-01,41.8,,36.2
1936-12-01,63.5,,36.1
1937-01-01,61.3,,64
1937-02-01,56.4,,50.1
1937-03-01,23.6,,50.6
1937-04-01,97,,113.5
1937-05-01,51.7,,88.5
1937-06-01,69.4,,42.8
1937-07-01,64.3,,31.5
1937-08-01,55.4,,29
1937-09-01,112.6,,27.9
1937-10-01,75,,35.2
1937-11-01,62.5,,46.2
1937-12-01,47.4,,41
1938-01-01,82.6,,38.1
1938-02-01,76.4,,88.9
1938-03-01,71.7,,108
1938-04-01,40,,152.2
1938-05-01,78.2,,95.5
1938-06-01,82.1,,56.1
1938-07-01,61.2,,36
1938-08-01,106.2,,33.4
1938-09-01,93.3,,40.8
1938-10-01,32.7,,36.3
1938-11-01,48,,35.1
1938-12-01,66,,37.2
1939-01-01,64.8,,41.8
1939-02-01,65.9,,45.3
1939-03-01,43.8,,67.2
1939-04-01,62.3,,113.4
1939-05-01,60.7,,96.1
1939-06-01,93.2,,68.9
1939-07-01,37.2,,36.9
1939-08-01,97.5,,32.2
1939-09-01,65.7,,28.8
1939-10-01,73.8,,30.8
1939-11-01,23.7,,34.3
1939-12-01,36.9,,31.8
1940-01-01,67.5,,29.5
1940-02-01,31.5,,27
1940-03-01,37.4,,36.5
1940-04-01,51,,72.4
1940-05-01,96.1,,74.6
1940-06-01,98.3,,68.2
1940-07-01,57.6,,41.6
1940-08-01,124.3,,35.2
1940-09-01,66.2,,39.6
1940-10-01,66,,33.4
1940-11-01,86.8,,48.3
1940-12-01,58.7,,59.7
1941-01-01,56.5,,59.2
1941-02-01,39.2,,42.2
1941-03-01,32.7,,54.4
1941-04-01,59.3,,109.3
1941-05-01,66.8,,60.8
1941-06-01,42.2,,33.8
1941-07-01,64.7,,29
1941-08-01,80.2,,24
1941-09-01,118.7,,31.5
1941-10-01,147,,63
