DATE,ONT_PREC,ONT_EVAP,ONT_RUNO
1932-05-01,65.8,,228.1
1932-06-01,44.8,,73
1932-07-01,87.2,,97.2
1932-08-01,89.6,,65.8
1932-09-01,63.1,,53
1932-10-01,74.4,,164.7
1932-11-01,98.9,,214.9
1932-12-01,67.2,,156.7
1933-01-01,34.8,,187.1
1933-02-01,56.2,,106.3
1933-03-01,74,,211.1
1933-04-01,80,,484.3
1933-05-01,53.8,,200.6
1933-06-01,38.9,,85.3
1933-07-01,22.7,,46.8
1933-08-01,107.3,,44.6
1933-09-01,49.5,,41.1
1933-10-01,52.5,,48.7
1933-11-01,90.3,,58.1
1933-12-01,81.9,,112.9
1934-01-01,52.5,,140.6
1934-02-01,44.3,,61.8
1934-03-01,66.2,,190.4
1934-04-01,60,,346.1
1934-05-01,26.5,,100.9
1934-06-01,71.5,,54.3
1934-07-01,32.4,,36.5
1934-08-01,41.1,,28.3
1934-09-01,96.6,,31.8
1934-10-01,39.5,,43.6
1934-11-01,81.6,,70
1934-12-01,68,,95.1
1935-01-01,79.6,,179.3
1935-02-01,50.7,,107.8
1935-03-01,34.8,,242
1935-04-01,44.4,,232.6
1935-05-01,66.8,,217.3
1935-06-01,101,,122
1935-07-01,64.7,,170.5
1935-08-01,41.3,,80.7
1935-09-01,69.6,,58.8
1935-10-01,53.3,,59.9
1935-11-01,56.9,,103.7
1935-12-01,61.5,,129.3
1936-01-01,63.1,,109.5
1936-02-01,66.2,,94.8
1936-03-01,151.9,,546.3
1936-04-01,62.7,,426.2
1936-05-01,31.9,,179
1936-06-01,42.3,,65.3
1936-07-01,32.5,,39.3
1936-08-01,53.9,,32.4
1936-09-01,92.9,,46.9
1936-10-01,80.1,,95.4
1936-11-01,64.3,,135.3
1936-12-01,73,,125
1937-01-01,113.8,,320.7
1937-02-01,58.4,,186
1937-03-01,56.9,,137.9
1937-04-01,89,,372.2
1937-05-01,68.6,,268.9
1937-06-01,84.7,,125.1
1937-07-01,38.4,,71.4
1937-08-01,66.8,,64
1937-09-01,39.2,,48
1937-10-01,114.5,,75.4
1937-11-01,75.6,,159.1
1937-12-01,58.4,,148.4
1938-01-01,55.3,,131.2
1938-02-01,85.7,,276.4
1938-03-01,57.1,,361
1938-04-01,50.1,,249.9
1938-05-01,53.8,,121.2
1938-06-01,47.4,,67.5
1938-07-01,84,,60
1938-08-01,83.3,,58.9
1938-09-01,129.5,,104.8
1938-10-01,15.7,,78.5
1938-11-01,49.8,,88.2
1938-12-01,48.8,,126.9
1939-01-01,70.7,,113.4
1939-02-01,90.1,,136
1939-03-01,65.8,,292.6
1939-04-01,71.7,,391.6
1939-05-01,33.6,,155.6
1939-06-01,49.4,,67.8
1939-07-01,61.6,,45.6
1939-08-01,71.2,,37.1
1939-09-01,72.9,,33.9
1939-10-01,52.4,,43
1939-11-01,20,,56.6
1939-12-01,62.3,,86.2
1940-01-01,60.4,,68.7
1940-02-01,65.8,,66.8
1940-03-01,60.5,,94.9
1940-04-01,70.6,,597.3
1940-05-01,101,,248.2
1940-06-01,82.5,,133.5
1940-07-01,71.7,,92
1940-08-01,38.4,,46.7
1940-09-01,68.8,,40.9
1940-10-01,40.9,,43.9
1940-11-01,103.1,,81.9
1940-12-01,89.8,,165.4
1941-01-01,58,,187.4
1941-02-01,52,,113.8
1941-03-01,45.9,,132.4
1941-04-01,24,,339.6
1941-05-01,35,,72.5
1941-06-01,39,,42.1
1941-07-01,93.6,,39.6
1941-08-01,78.4,,37.9
1941-09-01,35.7,,61.8
1941-10-01,99.4,,58.7
1941-11-01,67.1,,91.4
1941-12-01,70.1,,119
