DATE,SUP_EVAP,MHG_EVAP,ERI_EVAP,ONT_EVAP,SUP_PREC,MHG_PREC,ERI_PREC,ONT_PREC,SUP_RUNO,MHG_RUNO,ERI_RUNO,ONT_RUNO,SUP_NBS,MHG_NBS,ERI_NBS,ONT_NBS
1912-08-01,,,,,95.8,99.1,114.6,103.9,9.2,,,34.9,,,,
1912-09-01,,,,,93.2,95.4,99.1,105.9,15.9,,,64.9,,,,
1912-10-01,,,,,49.5,65.5,85.9,72.4,17,,,104.8,,,,
1912-11-01,,,,,27.2,80.5,53.3,84.6,8.3,,,120.7,,,,
1912-12-01,,,,,59.2,48.4,56.6,53.3,5.5,,,185.7,,,,
1913-01-01,,,,,37.3,56.5,135.4,114.3,4.4,,,383.9,,,,
1913-02-01,,,,,38.6,50.5,46.7,38.6,4.5,,,66.1,,,,
1913-03-01,,,,,71.1,77.9,170.4,108.2,4.6,,,435.3,,,,
1913-04-01,,,,,31.5,67.7,72.6,98,53,,,216.9,,,,
1913-05-01,,,,,78.5,71.3,86.1,63.2,79.9,,,121.2,,,,
1913-06-01,,,,,66.5,52.7,61,47.5,63,,,44.8,,,,
1913-07-01,,,,,116.6,76.2,83.3,46.7,71.1,,,15.2,,,,
1913-08-01,,,,,68.6,56.8,90.4,76.2,22.5,,,9.9,,,,
1913-09-01,,,,,83.6,53.9,44.5,40.1,25.4,,,8.4,,,,
1913-10-01,,,,,94,88.4,98,91.7,52.5,,,14.7,,,,
1913-11-01,,,,,49.3,56.4,81.5,68.6,22.6,,,46.9,,,,
1913-12-01,,,,,9.1,16.1,25.7,32.5,13.9,,,24.8,,,,
1914-01-01,,,,,49.5,63.9,82,66,6.6,,31.3,59.8,,,,
1914-02-01,,,,,30.7,31.3,44.7,37.1,6.3,,41.9,116.4,,,,
1914-03-01,,,,,30.5,44.7,68.3,64,7.8,,146.6,565.9,,,,
1914-04-01,,,,,88.6,54,94,78.2,28.6,,90.8,365.4,,,,
1914-05-01,,,,,52.6,64.6,118.6,53.3,100.6,,59.8,285.2,,,,
1914-06-01,,,,,84.6,94.9,57.9,73.2,97.3,,20.9,41.3,,,,
1914-07-01,,,,,60.5,55.5,39.6,26.4,72.5,,16.9,17.5,,,,
1914-08-01,,,,,86.6,79.5,138.9,85.1,25.7,,12.1,28.4,,,,
1914-09-01,,,,,66.5,54.9,51.1,43.7,36.2,,19.1,32.2,,,,
1914-10-01,,,,,36.1,63,56.9,40.1,19.1,,16.6,16.6,,,,
1914-11-01,,,,,61.7,57,50.3,54.4,13.4,,23.8,20.5,,,,
1914-12-01,,,,,31.5,60.7,74.2,65.8,9.2,,29,33.1,,,,
1915-01-01,,,,,46,45.9,76.7,74.2,7.4,,26.2,136.2,,,,
1915-02-01,,,,,33.5,57.3,61.5,64.5,7.2,,62.9,306,,,,
1915-03-01,,,,,15.5,41.9,29.5,14.5,10.6,,103,106.5,,,,
1915-04-01,,,,,31.8,25.1,22.4,25.4,41.1,85.5,71.4,104.8,,,,
1915-05-01,,,,,59.9,64.9,82.3,42.7,64,78.8,27.8,49.6,,,,
1915-06-01,,,,,122.9,81.6,74.7,64,75.4,63.3,20.8,20.2,,,,
1915-07-01,,,,,64.5,70.5,156,86.6,39.5,43.7,20.9,109,,,,
1915-08-01,,,,,71.4,78.8,138.2,143.3,17.3,43.5,71.6,74.9,,,,
1915-09-01,,,,,98.3,113.3,86.4,52.8,11.2,47.2,68.3,24.3,,,,
1915-10-01,,,,,75.9,39.3,51.6,51.3,38.8,67.6,52,74.9,,,,
1915-11-01,,,,,99.3,69.2,61.5,45.7,35.5,72.3,33.8,49.8,,,,
1915-12-01,,,,,46.7,46.2,77.2,84.6,15.2,72.4,35.9,65.3,,,,
1916-01-01,,,,,79.8,83.8,99.6,81,13.2,95.9,244.3,175.3,,,,
